relative_path,filename,source_family,file_size,sha256,sheet_count,encrypted,has_drawings,has_hyperlinks,merged_cell_count,hyperlink_formula_count
METHODS\1 Completed Project  Deliverables\2369 - NMGL Delivarables.xlsx,2369 - NMGL Delivarables.xlsx,METHODS,81375,263c2291ce348e8b9e206f0c359709d8d0fc2c8f9d7c140f43f505ffbdbd8608,3,False,True,False,162,0
METHODS\1 Completed Project  Deliverables\2722 Deliverable.xlsx,2722 Deliverable.xlsx,METHODS,138240,025d78643ff9d597a8c45f2e11e9265d563565372cb4747bd644673c20bea3d8,0,False,False,False,0,0
METHODS\1 Completed Project  Deliverables\2891- BU HASEER Delivarables.xlsx,2891- BU HASEER Delivarables.xlsx,METHODS,85038,53b84373a5cef11cfd0313b2944a09a0519bf32c1fde06bc1d256dff5a6d712d,4,False,True,False,134,0
METHODS\1. Delivarables  FORMAT.xlsx,1. Delivarables  FORMAT.xlsx,METHODS,71432,5475c53dfd4da97035a76ac6480297d63a49f5f6bb6664738dabfb52b71487b9,3,False,True,False,86,0
METHODS\2. Barges Sketch Deliverables.xlsx,2. Barges Sketch Deliverables.xlsx,METHODS,37180,49afd24b80dec4d64cd7c86c0647615c0d4846ba2e450de45f7b613d27afbefa,1,False,True,False,29,0
METHODS\2035 - UMM Shaif Delivarables.xlsx,2035 - UMM Shaif Delivarables.xlsx,METHODS,139581,2f4f70ee424bed42d9e94b16e2249ead9c0d261230ceed61515c69a4b42e5eac,3,False,True,False,366,0
METHODS\2171-2172 -Document Deliverables LATEST.xlsx,2171-2172 -Document Deliverables LATEST.xlsx,METHODS,230380,7c0f7d55003cd09e388be3e68622a27aebafc578c4077e965dc2e0088d3a69ba,2,False,True,False,105,0
METHODS\2300-2302 -CRPO 82-83 Deliveables.xlsx,2300-2302 -CRPO 82-83 Deliveables.xlsx,METHODS,129623,98dd769c6c89e3427e701cc778fc013f023c556d056f27124efe7aba26b4a5ea,3,False,True,False,151,0
METHODS\2412- 2413 -CRPO 86 Delivarables.xlsx,2412- 2413 -CRPO 86 Delivarables.xlsx,METHODS,87658,8ccf0861443861d243e68ce87e87dc39cd696429cfea3abaf0d5c22030a784ea,3,False,True,False,152,0
METHODS\2462 -TB-3 ADNOC Delivarables.xlsx,2462 -TB-3 ADNOC Delivarables.xlsx,METHODS,75532,5e029945514503d997d3753db4d79b1227a360333cd71fd7d49e7af901c6bcd9,3,False,True,False,102,0
METHODS\2631 - 7 JKT ADNOC Delivarables.xlsx,2631 - 7 JKT ADNOC Delivarables.xlsx,METHODS,77501,543b71c41beb099912cc8e494ba18a5401285925f22aef7c6a713c618f2b16bf,3,False,True,False,162,0
METHODS\2642  -HAIL & GHASHA  Delivarables.xlsx,2642  -HAIL & GHASHA  Delivarables.xlsx,METHODS,103657,c29611131e8ff5d812ab58637cb1922e8d33c55ab2b86df70349f7bee99e5b3e,3,False,True,False,306,0
METHODS\2683 - 20 MOL Delivarables.xlsx,2683 - 20 MOL Delivarables.xlsx,METHODS,77892,44c7dab5747039dce3c5297f8f95cc6d0b57a9571d686e58cae29480a9469f4a,3,False,True,False,159,0
