Case ID,Project No.,Source Family,Discipline,Category,Subcategory,Original Worksheet,Original Section,Classification Rule ID,Classification Confidence,Document No.,Document Title,Company Document No.,Revision,Event Type,Event Date,Event Reference,Event Status,Event Values JSON,Row Metadata JSON,Document Link,Original_Hyperlink_Target,Global_Document_Key,Source_Document_Key,Revision_Key,Event_Key,Document_Row_Flag,Revision_Row_Flag,Is_Latest_Revision,Is_Latest_Event,Source File,Source Modified Date,Source Sheet,Source Row,Source Cell,Parsing Status,Warnings
M2171_NONSTANDARD,2171;2172,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,2171-2172,,M002,1.00,2171-2172-PP-OF-012,ANCHOR HANDLING PROCEDURE FOR FLOATING BARGE,,A1,Construction and Installation Procedure,2021-12-23,T-553/21,,"{""Issue Date (Actual)"":""2021-12-23"",""Issue Date (Planned)"":""2021-08-30"",""Outgoing Ref No."":""T-553/21""}","{""#"":""1""}",,,GDOC-6521874942a838474d990c05,SDOC-d29c5090a03a06ba108b5c05,REV-23f59cb80be842f63c7cc9de,EVT-c113f24560af99603c847bea,1,1,0,1,DATA/METHODS/2171-2172 -Document Deliverables LATEST.xlsx,2026-09-08T05:23:16Z,2171-2172,4,B4,INCLUDE,
M2171_NONSTANDARD,2171;2172,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,2171-2172,,M002,1.00,2171-2172-PP-OF-012,ANCHOR HANDLING PROCEDURE FOR FLOATING BARGE,,A,Construction and Installation Procedure,2022-01-19,T-007/22,,"{""Issue Date (Actual)"":""2022-01-19"",""Issue Date (Planned)"":""2022-01-19"",""Outgoing Ref No."":""T-007/22""}","{""#"":""1""}",,,GDOC-6521874942a838474d990c05,SDOC-d29c5090a03a06ba108b5c05,REV-e28c6122728cc3e724c6c317,EVT-50a6ae11e8e72df64f677808,0,1,0,1,DATA/METHODS/2171-2172 -Document Deliverables LATEST.xlsx,2026-09-08T05:23:16Z,2171-2172,5,B5,INCLUDE,
M2171_NONSTANDARD,2171;2172,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,2171-2172,,M002,1.00,2171-2172-PP-OF-012,ANCHOR HANDLING PROCEDURE FOR FLOATING BARGE,,00,Construction and Installation Procedure,2022-03-28,T-108/22,,"{""Issue Date (Actual)"":""2022-03-28"",""Outgoing Ref No."":""T-108/22""}","{""#"":""1""}",,,GDOC-6521874942a838474d990c05,SDOC-d29c5090a03a06ba108b5c05,REV-0f7360a772b488d488dce544,EVT-5154fc7e21e561d026725cf3,0,1,1,1,DATA/METHODS/2171-2172 -Document Deliverables LATEST.xlsx,2026-09-08T05:23:16Z,2171-2172,6,B6,INCLUDE,
M2171_NONSTANDARD,2171;2172,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,2171-2172,,M002,1.00,2171-2172-PP-OF-013,PROCEDURE FOR SURVEY OF PIPELINE CONDITION AT TIE-IN LOCATION,,A1,Construction and Installation Procedure,2021-07-13,T-304/21,,"{""Issue Date (Actual)"":""2021-07-13"",""Outgoing Ref No."":""T-304/21""}","{""#"":""2""}",,,GDOC-a518da5e64d8b035a2c64cd5,SDOC-cec6744e13fc01045a48142f,REV-ff4f8c327c5f38d77dc1355b,EVT-66806f6274e17c0b51d750b1,1,1,0,1,DATA/METHODS/2171-2172 -Document Deliverables LATEST.xlsx,2026-09-08T05:23:16Z,2171-2172,7,B7,INCLUDE,
M2171_NONSTANDARD,2171;2172,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,2171-2172,,M002,1.00,2171-2172-PP-OF-013,PROCEDURE FOR SURVEY OF PIPELINE CONDITION AT TIE-IN LOCATION,,A,Construction and Installation Procedure,2021-08-08,T-337/21,,"{""Issue Date (Actual)"":""2021-08-08"",""Outgoing Ref No."":""T-337/21""}","{""#"":""2""}",,,GDOC-a518da5e64d8b035a2c64cd5,SDOC-cec6744e13fc01045a48142f,REV-43d097a361bdb94f6247626e,EVT-66f7fa07fc8d08c0d97652cd,0,1,0,1,DATA/METHODS/2171-2172 -Document Deliverables LATEST.xlsx,2026-09-08T05:23:16Z,2171-2172,8,B8,INCLUDE,
M2171_NONSTANDARD,2171;2172,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,2171-2172,,M002,1.00,2171-2172-PP-OF-013,PROCEDURE FOR SURVEY OF PIPELINE CONDITION AT TIE-IN LOCATION,,B,Construction and Installation Procedure,2021-10-12,T-432/21,,"{""Issue Date (Actual)"":""2021-10-12"",""Outgoing Ref No."":""T-432/21""}","{""#"":""2""}",,,GDOC-a518da5e64d8b035a2c64cd5,SDOC-cec6744e13fc01045a48142f,REV-d974cdd37378debc68fa4c2f,EVT-39e8f997fb842afe81305b96,0,1,0,1,DATA/METHODS/2171-2172 -Document Deliverables LATEST.xlsx,2026-09-08T05:23:16Z,2171-2172,9,B9,INCLUDE,
M2171_NONSTANDARD,2171;2172,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,2171-2172,,M002,1.00,2171-2172-PP-OF-013,PROCEDURE FOR SURVEY OF PIPELINE CONDITION AT TIE-IN LOCATION,,00,Construction and Installation Procedure,2021-12-28,T-561/21,,"{""Issue Date (Actual)"":""2021-12-28"",""Issue Date (Planned)"":""2021-12-28"",""Outgoing Ref No."":""T-561/21""}","{""#"":""2""}",,,GDOC-a518da5e64d8b035a2c64cd5,SDOC-cec6744e13fc01045a48142f,REV-9e1d558eb7fa741994463b55,EVT-c732efed2096651750e4a79e,0,1,0,1,DATA/METHODS/2171-2172 -Document Deliverables LATEST.xlsx,2026-09-08T05:23:16Z,2171-2172,10,B10,INCLUDE,
M2171_NONSTANDARD,2171;2172,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,2171-2172,,M002,1.00,2171-2172-PP-OF-013,PROCEDURE FOR SURVEY OF PIPELINE CONDITION AT TIE-IN LOCATION,,00A,Construction and Installation Procedure,2023-04-17,T-131/23,,"{""Issue Date (Actual)"":""2023-04-17"",""Outgoing Ref No."":""T-131/23""}","{""#"":""2""}",,,GDOC-a518da5e64d8b035a2c64cd5,SDOC-cec6744e13fc01045a48142f,REV-2d1c3bd546da7a93ef25a270,EVT-e7421f32261439966d07ab3b,0,1,1,1,DATA/METHODS/2171-2172 -Document Deliverables LATEST.xlsx,2026-09-08T05:23:16Z,2171-2172,11,B11,INCLUDE,
M2171_NONSTANDARD,2171;2172,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,2171-2172,,M002,1.00,2171-2172-PP-OF-015,PROCEDURE FOR SUBSEA EXCAVATION WORK AT TIE-IN LOCATION,,A1,Construction and Installation Procedure,2021-08-11,T-342/21,,"{""Issue Date (Actual)"":""2021-08-11"",""Outgoing Ref No."":""T-342/21""}","{""#"":""3""}",,,GDOC-80561288b0d2acda10a181d8,SDOC-4f7e60a3469099f79446b8c5,REV-35e88c1152679546d2b319a8,EVT-3f868ad10f630e111edb6a44,1,1,0,1,DATA/METHODS/2171-2172 -Document Deliverables LATEST.xlsx,2026-09-08T05:23:16Z,2171-2172,12,B12,INCLUDE,
M2171_NONSTANDARD,2171;2172,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,2171-2172,,M002,1.00,2171-2172-PP-OF-015,PROCEDURE FOR SUBSEA EXCAVATION WORK AT TIE-IN LOCATION,,A,Construction and Installation Procedure,2021-08-15,T-346/21,,"{""Issue Date (Actual)"":""2021-08-15"",""Outgoing Ref No."":""T-346/21""}","{""#"":""3""}",,,GDOC-80561288b0d2acda10a181d8,SDOC-4f7e60a3469099f79446b8c5,REV-8e409f9030797e3f4d042706,EVT-c8063bedad86060b39f205e7,0,1,0,1,DATA/METHODS/2171-2172 -Document Deliverables LATEST.xlsx,2026-09-08T05:23:16Z,2171-2172,13,B13,INCLUDE,
