Scope,Source File,Worksheet,Project No.,Source Family,Reason,Warnings,Rows With Identity,Event Records
WORKSHEET,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,Setup Plans & Anchor Patterns,2035,METHODS,Unable to establish safe worksheet layout,LAYOUT_DOCUMENT_HEADER_NOT_FOUND,0,0
WORKSHEET,DATA/METHODS/E-2964-  ADNOC Delivarables.xlsx,Installation Procedures,2964,METHODS,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/METHODS/E-2964-  ADNOC Delivarables.xlsx,Setup Plans & Anchor Patterns,2964,METHODS,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/METHODS/E-3012 - ADNOC Delivarables.xlsx,Installation Procedures,3012,METHODS,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/METHODS/E-3012 - ADNOC Delivarables.xlsx,Setup Plans & Anchor Patterns,3012,METHODS,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/METHODS/E-3088- ADNOC Delivarables.xlsx,Installation Procedures,3088,METHODS,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/METHODS/E-3088- ADNOC Delivarables.xlsx,Setup Plans & Anchor Patterns,3088,METHODS,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/TECH/2631-DOCUMENT REGISTER.xlsx,cut-list,2631,TECH,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/TECH/2631-DOCUMENT REGISTER.xlsx,DRAWINGS,2631,TECH,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/TECH/2705 -DOCUMENT REGISTER.xlsx,Cut-lists,2705,TECH,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/TECH/2705 -DOCUMENT REGISTER.xlsx,Documents - Naval Marine,2705,TECH,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/TECH/2705 -DOCUMENT REGISTER.xlsx,Sketch,2705,TECH,Unable to establish safe worksheet layout,LAYOUT_FIRST_DATA_ROW_NOT_FOUND,0,0
WORKSHEET,DATA/TECH/2745-PP-GE-001-MDR Rev_2.xlsx,Anchor Pattern,2745,TECH,Unable to establish safe worksheet layout,LAYOUT_DOCUMENT_HEADER_NOT_FOUND,0,0
WORKSHEET,DATA/TECH/2745-PP-GE-001-MDR Rev_2.xlsx,DP,2745,TECH,Unable to establish safe worksheet layout,LAYOUT_DOCUMENT_HEADER_NOT_FOUND,0,0
WORKSHEET,DATA/TECH/7279-OS Document register.xlsx,NAVAL MARINE,7279,TECH,Unable to establish safe worksheet layout,LAYOUT_DOCUMENT_HEADER_NOT_FOUND,0,0
