Case ID,Project No.,Source Family,Discipline,Category,Subcategory,Original Worksheet,Original Section,Classification Rule ID,Classification Confidence,Document No.,Document Title,Company Document No.,Revision,Event Type,Event Date,Event Reference,Event Status,Event Values JSON,Row Metadata JSON,Document Link,Original_Hyperlink_Target,Global_Document_Key,Source_Document_Key,Revision_Key,Event_Key,Document_Row_Flag,Revision_Row_Flag,Is_Latest_Revision,Is_Latest_Event,Source File,Source Modified Date,Source Sheet,Source Row,Source Cell,Parsing Status,Warnings
FULL-f793b40bdd77061d,2035,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,Installation Procedures ,,M001,0.95,2035-PP-OF-0004,PRE-ENGINEERING JACKET FACE DIVING SURVEY PROCEDURE,AD-26-G-80074,1,NMDC ENERGY > SUBMISSION STATUS > Methods TO PMT,2022-03-15,T-092/22,,"{""DATE"":""2022-03-15"",""REF"":""T-092/22""}","{""CLASS"":""2""}",,,GDOC-b88f38e6977a4f769ce5212d,SDOC-62457768ce5f66d16f26816a,REV-ce49480220682686527bb7a3,EVT-09c28d96c4d753ed3d9afd39,1,1,0,0,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,2026-09-08T11:47:53Z,Installation Procedures ,9,C9,INCLUDE,
FULL-f793b40bdd77061d,2035,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,Installation Procedures ,,M001,0.95,2035-PP-OF-0004,PRE-ENGINEERING JACKET FACE DIVING SURVEY PROCEDURE,AD-26-G-80074,1,ADNOC OFFSHORE > APPROVAL STATUS > FROM CLIENT,2022-04-01,E1372-AO-NPCC-T-00039,3-Reviewed with Comments,"{""CODE"":""3-Reviewed with Comments"",""DATE"":""2022-04-01"",""REF"":""E1372-AO-NPCC-T-00039""}","{""CLASS"":""2""}",,,GDOC-b88f38e6977a4f769ce5212d,SDOC-62457768ce5f66d16f26816a,REV-ce49480220682686527bb7a3,EVT-4adf4b845fce99ff11f8045c,0,0,0,1,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,2026-09-08T11:47:53Z,Installation Procedures ,9,C9,INCLUDE,
FULL-f793b40bdd77061d,2035,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,Installation Procedures ,,M001,0.95,2035-PP-OF-0004,PRE-ENGINEERING JACKET FACE DIVING SURVEY PROCEDURE,AD-26-G-80074,1,NMDC ENERGY > SUBMISSION STATUS > PMT TO ADNOC,2022-03-17,2035-NPCC-ADNOC-T-00039,,"{""DATE"":""2022-03-17"",""REF"":""2035-NPCC-ADNOC-T-00039""}","{""CLASS"":""2""}",,,GDOC-b88f38e6977a4f769ce5212d,SDOC-62457768ce5f66d16f26816a,REV-ce49480220682686527bb7a3,EVT-ff93e5e8a37ef7f1ade6e6bb,0,0,0,0,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,2026-09-08T11:47:53Z,Installation Procedures ,9,C9,INCLUDE,
FULL-f793b40bdd77061d,2035,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,Installation Procedures ,,M001,0.95,2035-PP-OF-0004,PRE-ENGINEERING JACKET FACE DIVING SURVEY PROCEDURE,AD-26-G-80074,2,ADNOC OFFSHORE > APPROVAL STATUS > FROM CLIENT,2022-06-03,E1372-AO-NPCC-T-00090,2-Approved with Comments,"{""CODE"":""2-Approved with Comments"",""DATE"":""2022-06-03"",""REF"":""E1372-AO-NPCC-T-00090""}","{""CLASS"":""2""}",,,GDOC-b88f38e6977a4f769ce5212d,SDOC-62457768ce5f66d16f26816a,REV-3eca3c109f47a79730c05a27,EVT-85b202294f45e7045714f8cc,0,0,0,1,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,2026-09-08T11:47:53Z,Installation Procedures ,10,C10,INCLUDE,
FULL-f793b40bdd77061d,2035,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,Installation Procedures ,,M001,0.95,2035-PP-OF-0004,PRE-ENGINEERING JACKET FACE DIVING SURVEY PROCEDURE,AD-26-G-80074,2,NMDC ENERGY > SUBMISSION STATUS > PMT TO ADNOC,2022-04-14,2035-NPCC-ADNOC-T-00090,,"{""DATE"":""2022-04-14"",""REF"":""2035-NPCC-ADNOC-T-00090""}","{""CLASS"":""2""}",,,GDOC-b88f38e6977a4f769ce5212d,SDOC-62457768ce5f66d16f26816a,REV-3eca3c109f47a79730c05a27,EVT-85f43148a1bb18187bc8a7ec,0,0,0,0,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,2026-09-08T11:47:53Z,Installation Procedures ,10,C10,INCLUDE,
FULL-f793b40bdd77061d,2035,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,Installation Procedures ,,M001,0.95,2035-PP-OF-0004,PRE-ENGINEERING JACKET FACE DIVING SURVEY PROCEDURE,AD-26-G-80074,2,NMDC ENERGY > SUBMISSION STATUS > Methods TO PMT,2022-04-13,T-139/22,,"{""DATE"":""2022-04-13"",""REF"":""T-139/22""}","{""CLASS"":""2""}",,,GDOC-b88f38e6977a4f769ce5212d,SDOC-62457768ce5f66d16f26816a,REV-3eca3c109f47a79730c05a27,EVT-c8862e1e99e496271e728321,0,1,0,0,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,2026-09-08T11:47:53Z,Installation Procedures ,10,C10,INCLUDE,
FULL-f793b40bdd77061d,2035,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,Installation Procedures ,,M001,0.95,2035-PP-OF-0004,PRE-ENGINEERING JACKET FACE DIVING SURVEY PROCEDURE,AD-26-G-80074,3,NMDC ENERGY > SUBMISSION STATUS > Methods TO PMT,2022-07-07,T-281/22,,"{""DATE"":""2022-07-07"",""REF"":""T-281/22""}","{""CLASS"":""2""}",,,GDOC-b88f38e6977a4f769ce5212d,SDOC-62457768ce5f66d16f26816a,REV-dd2536c101e142c34e9b6abb,EVT-0d28051a24114cc7657a9e87,0,1,1,0,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,2026-09-08T11:47:53Z,Installation Procedures ,11,C11,INCLUDE,
FULL-f793b40bdd77061d,2035,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,Installation Procedures ,,M001,0.95,2035-PP-OF-0004,PRE-ENGINEERING JACKET FACE DIVING SURVEY PROCEDURE,AD-26-G-80074,3,ADNOC OFFSHORE > APPROVAL STATUS > FROM CLIENT,2022-09-01,E1372-AO-NPCC-T-00225,1-Approved,"{""CODE"":""1-Approved"",""DATE"":""2022-09-01"",""REF"":""E1372-AO-NPCC-T-00225""}","{""CLASS"":""2""}",,,GDOC-b88f38e6977a4f769ce5212d,SDOC-62457768ce5f66d16f26816a,REV-dd2536c101e142c34e9b6abb,EVT-5faca103673a92cad2304126,0,0,1,1,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,2026-09-08T11:47:53Z,Installation Procedures ,11,C11,INCLUDE,
FULL-f793b40bdd77061d,2035,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,Installation Procedures ,,M001,0.95,2035-PP-OF-0004,PRE-ENGINEERING JACKET FACE DIVING SURVEY PROCEDURE,AD-26-G-80074,3,NMDC ENERGY > SUBMISSION STATUS > PMT TO ADNOC,2022-07-12,2035-NPCC-ADNOC-T-00225,,"{""DATE"":""2022-07-12"",""REF"":""2035-NPCC-ADNOC-T-00225""}","{""CLASS"":""2""}",,,GDOC-b88f38e6977a4f769ce5212d,SDOC-62457768ce5f66d16f26816a,REV-dd2536c101e142c34e9b6abb,EVT-ed8702d5dde9ba88d111947f,0,0,1,0,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,2026-09-08T11:47:53Z,Installation Procedures ,11,C11,INCLUDE,
FULL-f793b40bdd77061d,2035,METHODS,OFFSHORE INSTALLATION,PROCEDURE,INSTALLATION PROCEDURE,Installation Procedures ,,M001,0.95,2035-PP-OF-0018,ANCHOR HANDLING PROCEDURE FOR GRAVITY ANCHORS BY HAMMER HEAD CRANE VESSEL,AD-26-G-80088,1,NMDC ENERGY > SUBMISSION STATUS > PMT TO ADNOC,2022-03-17,2035-NPCC-ADNOC-T-00041,,"{""DATE"":""2022-03-17"",""REF"":""2035-NPCC-ADNOC-T-00041""}","{""CLASS"":""2""}",,,GDOC-542db14bfcf5b56065796193,SDOC-d29a7b5e678d6820d8bd241a,REV-0fb48e7e7182023cbeb8d965,EVT-370aeb67952509faa8017f64,0,0,0,0,DATA/METHODS/2035 - UMM Shaif Delivarables.xlsx,2026-09-08T11:47:53Z,Installation Procedures ,12,C12,INCLUDE,
